model,comparison,metric,both_complete,diff,lo,hi
qwen3.8-27b,single-clf_all,hit1,0,-0.6888888888888889,-0.8222222222222222,-0.5555555555555556
qwen3.8-27b,single-clf_all,hit3,0,-0.8444444444444444,-0.9333333333333333,-0.7333333333333333
qwen3.8-27b,single-clf_all,mrr3,0,-0.7555555555555555,-0.8666666666666667,-0.6370370370370371
qwen3.8-27b,single-clf_all,recall3,0,-0.6011111111111112,-0.7029629629629629,-0.4981481481481481
qwen3.8-27b,single-clf_all,f1,0,-0.393615520282187,-0.4535983245149912,-0.3309501763668431
qwen3.8-27b,single-baseline,hit1,0,-0.3111111111111111,-0.4444444444444444,-0.17777777777777778
qwen3.8-27b,single-baseline,hit3,0,-0.7111111111111111,-0.8444444444444444,-0.5777777777777777
qwen3.8-27b,single-baseline,mrr3,0,-0.4925925925925925,-0.6037037037037036,-0.37777777777777777
qwen3.8-27b,single-baseline,recall3,0,-0.4014814814814815,-0.49703703703703694,-0.30592592592592593
qwen3.8-27b,single-baseline,f1,0,-0.3367195767195767,-0.40984391534391545,-0.26322619047619045
qwen3.8-27b,clf_pc-baseline:densenet121-res224-pc,hit1,1,0.24444444444444444,0.06666666666666667,0.4222222222222222
qwen3.8-27b,clf_pc-baseline:densenet121-res224-pc,hit3,1,0.15555555555555556,-0.022222222222222223,0.3333333333333333
qwen3.8-27b,clf_pc-baseline:densenet121-res224-pc,mrr3,1,0.20740740740740737,0.048148148148148155,0.36666666666666664
qwen3.8-27b,clf_pc-baseline:densenet121-res224-pc,recall3,1,0.19407407407407407,0.052962962962962976,0.338898148148148
qwen3.8-27b,clf_pc-baseline:densenet121-res224-pc,f1,1,0.019029982363315694,-0.07807980599647267,0.11733774250440915
qwen3.8-27b,clf_all-baseline:closed,hit1,1,0.044444444444444446,-0.06666666666666667,0.15555555555555556
qwen3.8-27b,clf_all-baseline:closed,hit3,1,0.044444444444444446,-0.06666666666666667,0.15555555555555556
qwen3.8-27b,clf_all-baseline:closed,mrr3,1,0.048148148148148155,-0.04074074074074074,0.14814814814814814
qwen3.8-27b,clf_all-baseline:closed,recall3,1,0.07851851851851853,-0.015925925925925923,0.18185185185185185
qwen3.8-27b,clf_all-baseline:closed,f1,1,0.04185185185185185,-0.02455026455026455,0.11037037037037037
qwen3.8-27b,clf_all-zeroshot:closed,hit1,1,-0.15555555555555556,-0.3111111111111111,0.0
qwen3.8-27b,clf_all-zeroshot:closed,hit3,1,0.06666666666666667,-0.06666666666666667,0.2
qwen3.8-27b,clf_all-zeroshot:closed,mrr3,1,-0.051851851851851864,-0.1703703703703704,0.07037037037037036
qwen3.8-27b,clf_all-zeroshot:closed,recall3,1,0.02518518518518518,-0.08777777777777779,0.14444444444444443
qwen3.8-27b,clf_all-zeroshot:closed,f1,1,-0.017513227513227515,-0.11227645502645503,0.07587698412698408
qwen3.8-27b,clf_pc-baseline:densenet121-res224-pc:closed,hit1,1,0.17777777777777778,0.044444444444444446,0.3333333333333333
qwen3.8-27b,clf_pc-baseline:densenet121-res224-pc:closed,hit3,1,0.1111111111111111,-0.022222222222222223,0.24444444444444444
qwen3.8-27b,clf_pc-baseline:densenet121-res224-pc:closed,mrr3,1,0.14444444444444443,0.029629629629629627,0.274074074074074
qwen3.8-27b,clf_pc-baseline:densenet121-res224-pc:closed,recall3,1,0.06814814814814814,-0.03259259259259258,0.17777777777777778
qwen3.8-27b,clf_pc-baseline:densenet121-res224-pc:closed,f1,1,0.037037037037037035,-0.03814814814814815,0.11889814814814803
qwen3.8-27b,zeroshot:closed-open,hit1,1,0.022222222222222223,-0.08888888888888889,0.13333333333333333
qwen3.8-27b,zeroshot:closed-open,hit3,1,0.06666666666666667,-0.022222222222222223,0.15555555555555556
qwen3.8-27b,zeroshot:closed-open,mrr3,1,0.04074074074074074,-0.03703703703703704,0.12222222222222222
qwen3.8-27b,zeroshot:closed-open,recall3,1,0.03333333333333333,-0.05185185185185184,0.11666666666666667
qwen3.8-27b,zeroshot:closed-open,f1,1,0.040194003527336854,-0.020919753086419742,0.10194047619047619
qwen3.8-27b,clf_all:closed-open,hit1,1,-0.3333333333333333,-0.4666666666666667,-0.2
qwen3.8-27b,clf_all:closed-open,hit3,1,-0.08888888888888889,-0.2,0.0
qwen3.8-27b,clf_all:closed-open,mrr3,1,-0.2148148148148148,-0.31851851851851853,-0.11851851851851851
qwen3.8-27b,clf_all:closed-open,recall3,1,-0.12111111111111111,-0.2118703703703704,-0.03703703703703704
qwen3.8-27b,clf_all:closed-open,f1,1,-0.015044091710758366,-0.064429012345679,0.03382716049382717
qwen3.8-27b,clf_pc:closed-open,hit1,1,-0.06666666666666667,-0.2,0.06666666666666667
qwen3.8-27b,clf_pc:closed-open,hit3,1,-0.044444444444444446,-0.17777777777777778,0.08888888888888889
qwen3.8-27b,clf_pc:closed-open,mrr3,1,-0.06296296296296297,-0.18148148148148147,0.05185185185185186
qwen3.8-27b,clf_pc:closed-open,recall3,1,-0.12592592592592594,-0.23703703703703702,-0.02037037037037037
qwen3.8-27b,clf_pc:closed-open,f1,1,0.01800705467372134,-0.05384523809523808,0.08938359788359787
